Save,حفظ,
Submit,اعتماد,
Cancel,إلغاء,
Amend,تعديل,
Delete,حذف,
Duplicate,نسخ,
Edit,تعديل,
Add,إضافة,
New,جديد,
Close,إغلاق,
Back,رجوع,
Refresh,تحديث,
Search,بحث,
Print,طباعة,
Export,تصدير,
Import,استيراد,
Update,تحديث,
Create,إنشاء,
View,عرض,
Open,فتح,
Download,تنزيل,
Upload,رفع,
Preview,معاينة,
Confirm,تأكيد,
Apply,تطبيق,
Reset,إعادة ضبط,
OK,موافق,
Yes,نعم,
No,لا,
Warning,تحذير,
Error,خطأ,
Info,معلومة,
Success,تمّ بنجاح,
Loading...,جارٍ التحميل...,
Saving...,جارٍ الحفظ...,
Saved,تم الحفظ,
Are you sure?,هل أنت متأكد؟,
Failed,فشل,
Not Permitted,غير مسموح,
Not Allowed,غير مسموح,
Permission Denied,تم رفض الصلاحية,
Required,مطلوب,
Mandatory,إلزامي,
Optional,اختياري,
Read Only,للقراءة فقط,
Actions,الإجراءات,
More,المزيد,
Less,أقل,
Show,عرض,
Hide,إخفاء,
Expand,توسيع,
Collapse,طي,
All,الكل,
None,لا شيء,
Other,أخرى,
Select All,تحديد الكل,
Deselect All,إلغاء التحديد,
Save & New,حفظ وجديد,
Reload,إعادة تحميل,
Undo,تراجع,
Home,الرئيسية,
Dashboard,لوحة التحكم,
Settings,الإعدادات,
Profile,الملف الشخصي,
Logout,تسجيل الخروج,
Login,تسجيل الدخول,
Password,كلمة المرور,
New Password,كلمة المرور الجديدة,
Confirm Password,تأكيد كلمة المرور,
Change Password,تغيير كلمة المرور,
Forgot Password,نسيت كلمة المرور,
Help,المساعدة,
About,حول,
Notifications,الإشعارات,
Mark as Read,وضع علامة مقروء,
No new notifications,لا توجد إشعارات جديدة,
No records to show,لا توجد سجلات للعرض,
No data,لا توجد بيانات,
Loading,جارٍ التحميل,
Please wait...,يرجى الانتظار...,
Page not found,الصفحة غير موجودة,
Add Row,إضافة صف,
Remove Row,حذف الصف,
Move Up,نقل لأعلى,
Move Down,نقل لأسفل,
Filters,معايير التصفية,
Filter,تصفية,
Sort,ترتيب,
Group By,تجميع حسب,
Report,التقرير,
List,القائمة,
Form,النموذج,
Tree,الشجرة,
Calendar,التقويم,
Image,الصورة,
Timeline,الجدول الزمني,
Print Format,نموذج الطباعة,
Letter Head,الترويسة,
Bulk Actions,إجراءات جماعية,
Assign,تعيين,
Share,مشاركة,
Tags,العلامات,
Attachments,المرفقات,
Links,الروابط,
Comments,التعليقات,
History,السجل,
Activity,النشاط,
Submit this document,اعتماد هذه الوثيقة,
Once submitted this document will not be editable. Do you want to submit?,بعد الاعتماد لن تتمكن من تعديل هذه الوثيقة. هل تريد المتابعة؟,
Submitted documents cannot be deleted,لا يمكن حذف الوثائق المعتمدة,
Document is already cancelled,هذه الوثيقة ملغاة بالفعل,
Document {0} submitted successfully,تم اعتماد الوثيقة {0} بنجاح,
Document {0} cancelled,تم إلغاء الوثيقة {0},
Are you sure you want to cancel?,هل أنت متأكد من الإلغاء؟,
Name,الاسم,
Title,العنوان,
Description,الوصف,
